"","HCC21","HCC22","HCC23","HCC24","HCC25","N1","N2","N3","N4","N5"
"miRNA_ENSG00000266802.1__23057903__23057933",3.29958429925928,4.1255898395879,4.06758299498778,7.42139109196008,4.43926677642925,0.834063166307468,1.43205969562236,1.92451726511725,0.603364410270162,2.55386488426004
"miRNA_ENSG00000266802.1__23057933__23057934",0.092946036598853,0.188958313263568,0.0467538275285951,0,0.137296910611214,0,0.0433957483521927,0,0,0
"miRNA_ENSG00000264926.1__23929100__23929130",1.25477149408452,2.77138859453233,2.8519834792443,1.22902018083415,3.15782894405792,1.58472001598419,1.1716852055092,1.35125680316743,1.63263311014279,1.25728732763571
"miRNA_ENSG00000264926.1__23929115__23929145",1.25477149408452,2.77138859453233,2.8519834792443,1.22902018083415,3.15782894405792,1.58472001598419,1.1716852055092,1.35125680316743,1.63263311014279,1.25728732763571
"miRNA_ENSG00000264926.1__23929145__23929147",0,0,0,0,0,0,0.0433957483521927,0,0,0
"miRNA_ENSG00000278034.1__24919345__24919375",0.092946036598853,0.0314930522105947,0.0467538275285951,0,0.0457656368704046,0,0.0433957483521927,0,0,0
"miRNA_ENSG00000278034.1__24919360__24919390",0.092946036598853,0.0944791566317841,0.0467538275285951,0,0.0457656368704046,0,0.0433957483521927,0.0409471758535585,0,0
"miRNA_ENSG00000278034.1__24919375__24919405",0,0.0629861044211894,0,0,0.0457656368704046,0.0417031583153734,0,0.0409471758535585,0,0
"miRNA_ENSG00000278034.1__24919405__24919416",0,0.0629861044211894,0,0,0.0457656368704046,0.0417031583153734,0,0.0409471758535585,0,0
"miRNA_ENSG00000264371.1__25023503__25023533",0,0,0.0467538275285951,0,0,0,0,0,0,0
"miRNA_ENSG00000264371.1__25023518__25023548",0,0,0.0467538275285951,0,0,0,0,0,0,0
"miRNA_ENSG00000264371.1__25023533__25023563",0,0.314930522105947,0.140261482585785,0.0472700069551598,0.183062547481618,0.0834063166307468,0.216978741760964,0.0409471758535585,0.106476072400617,0.117870686965848
"miRNA_ENSG00000264371.1__25023548__25023578",0,0.314930522105947,0.140261482585785,0.0472700069551598,0.183062547481618,0.0834063166307468,0.216978741760964,0.0409471758535585,0.106476072400617,0.117870686965848
"miRNA_ENSG00000283938.1__25906362__25906392",0,0.0629861044211894,0.0467538275285951,0,0,0,0,0,0,0
"miRNA_ENSG00000283938.1__25906377__25906407",0,0.0629861044211894,0.0467538275285951,0,0,0,0,0,0,0
"miRNA_ENSG00000283938.1__25906392__25906422",0,0.0629861044211894,0.0467538275285951,0,0,0,0,0,0,0
"miRNA_ENSG00000283938.1__25906407__25906437",0,0.0629861044211894,0.0467538275285951,0,0,0,0,0,0,0
"miRNA_ENSG00000238705.1__26554542__26554572",0.418257164694839,0.0944791566317841,0.374030620228761,0.283620041730959,0.0915312737408092,0,0.0867914967043854,0.245683055121351,0,0.275031602920312
"miRNA_ENSG00000238705.1__26554557__26554587",4.92613993973921,5.70024245011764,4.8156442354453,3.97068058423342,4.39350113955884,1.75153264924568,2.34337041101841,2.41588337535995,2.48444168934773,1.53231893055602
"miRNA_ENSG00000238705.1__26554587__26554593",4.60082881164323,5.66874939790704,4.62862892533092,3.68706054250246,4.30196986581803,1.75153264924568,2.25657891431402,2.1702003202386,2.48444168934773,1.41444824359018
"miRNA_ENSG00000266203.1__32086949__32086979",0,0.0629861044211894,0,0,0,0,0.0433957483521927,0.0409471758535585,0,0
"miRNA_ENSG00000266203.1__32086964__32086994",0.418257164694839,0.220451365474163,0.140261482585785,0.425430062596438,0.274593821222428,0.208515791576867,0.650936225282891,0.204735879267793,0.177460120667695,0.471482747863392
"miRNA_ENSG00000266203.1__32086994__32087007",0.418257164694839,0.157465261052973,0.140261482585785,0.425430062596438,0.274593821222428,0.208515791576867,0.607540476930698,0.163788703414234,0.177460120667695,0.471482747863392
"miRNA_ENSG00000284154.1__33332393__33332423",3.25311128095986,2.58243028126876,3.31952175453025,6.90142101545333,2.65440693848347,1.16768843283046,0.520748980226313,1.55599268243522,1.06476072400617,0.628643663817856
"miRNA_ENSG00000284154.1__33332408__33332438",3.25311128095986,2.58243028126876,3.36627558205885,6.90142101545333,2.65440693848347,1.16768843283046,0.520748980226313,1.55599268243522,1.06476072400617,0.628643663817856
"miRNA_ENSG00000284154.1__33332423__33332453",5.53028917763176,4.1255898395879,5.7974746135458,9.64308141885259,4.80539187139249,3.12773687365301,2.25657891431402,3.43956277169891,4.0105987270899,2.86818671616897
"miRNA_ENSG00000284154.1__33332438__33332468",2.32365091497133,1.57465261052973,2.47795285901554,2.83620041730959,2.15098493290902,2.00175159913792,1.73582993408771,1.92451726511725,2.94583800308373,2.31812351032834
"miRNA_ENSG00000284154.1__33332453__33332483",2.32365091497133,1.57465261052973,2.47795285901554,2.83620041730959,2.15098493290902,2.00175159913792,1.73582993408771,1.92451726511725,2.94583800308373,2.31812351032834
"miRNA_ENSG00000207941.1__34669599__34669629",0.464730182994265,0.53538188758011,0.467538275285951,0.141810020865479,0.183062547481618,0.625547374730601,0.781123470339469,0.614207637803378,0.922792627472013,0.510772976852008
"miRNA_ENSG00000207941.1__34669614__34669644",0.464730182994265,0.53538188758011,0.467538275285951,0.141810020865479,0.183062547481618,0.625547374730601,0.781123470339469,0.614207637803378,0.922792627472013,0.510772976852008
"miRNA_ENSG00000207941.1__34669629__34669659",0.836514329389677,1.07076377516022,0.748061240457522,0.236350034775799,0.411890731833642,0.959172641253588,1.90941292749648,0.859890692924729,1.24222084467386,1.2179970986471
"miRNA_ENSG00000207941.1__34669644__34669674",0.371784146395412,0.53538188758011,0.280522965171571,0.0945400139103195,0.228828184352023,0.333625266522987,1.12828945715701,0.245683055121351,0.319428217201851,0.707224121795088
"miRNA_ENSG00000207941.1__34669659__34669689",0.371784146395412,0.53538188758011,0.280522965171571,0.0945400139103195,0.228828184352023,0.333625266522987,1.12828945715701,0.245683055121351,0.319428217201851,0.707224121795088
"miRNA_ENSG00000283724.1__37480230__37480260",0,0,0,0.0945400139103195,0,0.0417031583153734,0,0.0409471758535585,0.0354920241335389,0.039290228988616
"miRNA_ENSG00000283724.1__37480245__37480275",0.092946036598853,0.125972208842379,0.280522965171571,0.330890048686118,0.457656368704046,0.166812633261494,0,0.122841527560676,0.283936193068312,0.078580457977232
"miRNA_ENSG00000283724.1__37480275__37480289",0.092946036598853,0.125972208842379,0.280522965171571,0.330890048686118,0.457656368704046,0.12510947494612,0,0.081894351707117,0.248444168934773,0.078580457977232
"miRNA_ENSG00000263675.1__37500935__37500965",0.325311128095986,0.283437469895352,0.0935076550571903,0.378160055641278,0.411890731833642,0.25021894989224,0.347165986817542,0.327577406828468,0.141968096534156,0.157160915954464
"miRNA_ENSG00000263675.1__37500950__37500980",0.325311128095986,0.283437469895352,0.0935076550571903,0.378160055641278,0.411890731833642,0.25021894989224,0.347165986817542,0.327577406828468,0.177460120667695,0.157160915954464
"miRNA_ENSG00000263675.1__37500980__37500994",0,0,0,0,0,0,0,0,0.0354920241335389,0
"miRNA_ENSG00000265596.1__38089261__38089291",0,0.0314930522105947,0,0,0,0,0,0,0,0
"miRNA_ENSG00000265596.1__38089276__38089306",0,0.0314930522105947,0,0,0,0,0,0,0,0
"miRNA_ENSG00000265596.1__38089291__38089321",0,0.0314930522105947,0,0,0,0,0,0,0,0
"miRNA_ENSG00000198974.3__40754355__40754385",4021.44969250427,4230.02080071824,3964.21028232205,3540.05082087191,4135.74907270473,7124.19223817356,8579.03567899003,6488.36664422732,6732.19812169793,7506.94831148092
"miRNA_ENSG00000198974.3__40754370__40754400",4021.44969250427,4230.08378682266,3964.21028232205,3540.05082087191,4135.74907270473,7124.19223817356,8579.03567899003,6488.36664422732,6732.19812169793,7506.98760170991
"miRNA_ENSG00000198974.3__40754385__40754415",4761.25367081285,4866.27493452888,4603.94290439582,4339.71752853235,4804.43079301821,7828.55858212021,9412.40763034554,7206.37537281947,7376.0944235286,8250.28015371655
"miRNA_ENSG00000198974.3__40754400__40754430",747.379080291377,643.655001080134,645.436589032256,805.528188522878,674.265128011671,715.292571425285,848.473671782072,728.573099962366,651.88200726071,759.558706807924
"miRNA_ENSG00000198974.3__40754415__40754445",741.384060930751,637.734307264542,641.228744554682,801.321157903868,670.191986330205,706.368095545795,836.409653740162,719.605668450437,644.996554578803,746.003577806852
"miRNA_ENSG00000198974.3__40754445__40754446",0.325311128095986,0.157465261052973,0.514292102814546,0.425430062596438,0.274593821222428,0.625547374730601,1.43205969562236,1.06462657219252,0.283936193068312,0.825094808760936
"miRNA_ENSG00000207962.1__40757284__40757314",1848.46430285969,1257.29712340357,1282.55099676442,1191.01509524221,1271.04903280175,755.619525516251,711.560085730904,1147.62649764768,993.350771449488,625.657606414721
