"","logFC","logCPM","PValue"
"miRNA_ENSG00000283844.1__172138798__172138828",2.37061922312838,1.96385871256451,0.00119380216926703
"miRNA_ENSG00000283844.1__172138813__172138843",2.37061836494194,1.96385871256451,0.00119684705522433
"miRNA_ENSG00000283844.1__172138828__172138858",3.09044095946142,3.20811389526965,4.0272312272279e-05
"miRNA_ENSG00000283844.1__172138843__172138873",3.83163067158701,2.79261386633373,2.33546186644119e-06
"miRNA_ENSG00000283152.1__172138853__172138883",-2.18677348714384,4.28161412683568,1.27280071002964e-08
"miRNA_ENSG00000283844.1__172138858__172138888",3.83163072119183,2.79261386633373,2.33466132966614e-06
"miRNA_ENSG00000283844.1__172138873__172138903",3.83163127481474,2.79261386633373,2.32574514583622e-06
"miRNA_ENSG00000208024.1__172144535__172144565",-3.5382680918309,10.3131286516005,2.52913754238146e-22
"miRNA_ENSG00000208024.1__172144550__172144580",-3.53821762207287,10.3134025591614,2.54658728928361e-22
"miRNA_ENSG00000208024.1__172144565__172144595",-3.20549197602328,11.2471716190509,1.61558498549462e-19
"miRNA_ENSG00000208024.1__172144580__172144610",-2.87856676329395,10.1800670817417,3.26822231452815e-13
"miRNA_ENSG00000208024.1__172144595__172144625",-2.87856676253648,10.1800670817417,3.28212129981279e-13
"miRNA_ENSG00000208024.1__172144610__172144640",-2.87867389927524,10.180017676549,3.243438073959e-13
"miRNA_ENSG00000283795.1__192716328__192716358",2.79234590849316,-1.27168748080997,0.0278832891039581
"miRNA_ENSG00000283795.1__192716343__192716373",2.5316290916152,-1.1379150044571,0.036785159679834
"miRNA_ENSG00000283795.1__192716358__192716388",2.63297036386784,-1.21267422862068,0.0332157083161819
"miRNA_ENSG00000283795.1__192716388__192716390",2.55943461018312,-1.65631157771876,0.0485574543178813
"miRNA_ENSG00000199059.3__205448332__205448362",5.43987589620034,2.3032382991294,0.00524816924661783
"miRNA_ENSG00000199059.3__205448347__205448377",5.21011078440205,2.27093072098193,0.00731198344912339
"miRNA_ENSG00000199059.3__205448362__205448392",5.21011047199562,2.27093072098193,0.00730147722037411
"miRNA_ENSG00000284485.1__209432148__209432178",-4.1829082254957,3.47453090220826,1.14717261421953e-31
"miRNA_ENSG00000284485.1__209432163__209432193",-4.18290894427803,3.47453090220826,1.15497650644147e-31
"miRNA_ENSG00000284485.1__209432178__209432208",-4.18004063606996,3.47571045303798,7.67352188627218e-32
"miRNA_ENSG00000207590.1__220117883__220117913",2.25022623521169,-0.495899488228418,0.00226844859377481
"miRNA_ENSG00000207590.1__220117898__220117928",3.02809779475134,7.21057916290771,2.15097720307576e-05
"miRNA_ENSG00000207590.1__220117913__220117943",3.03472130877077,7.20882504018906,2.08879213847387e-05
"miRNA_ENSG00000207590.1__220117928__220117958",3.03472131497017,7.20882504018906,2.09023658312634e-05
"miRNA_ENSG00000207624.1__220118172__220118202",2.59436170903028,-1.62457607339642,0.00333347304261817
"miRNA_ENSG00000207624.1__220118187__220118217",2.65560435999696,9.16387493301353,1.84586840576698e-06
"miRNA_ENSG00000207624.1__220118202__220118232",2.65588193418309,9.16377647181146,1.84027404764059e-06
"miRNA_ENSG00000281696.1__220200613__220200619",4.9317657669658,-1.01294671631259,0.00149614119846295
"miRNA_ENSG00000284519.1__225922080__225922110",2.40860105436781,1.75471190137949,4.13820261570717e-05
"miRNA_ENSG00000284311.1__228397078__228397108",-2.19099927317738,-2.79410479030333,0.0384137980479233
"miRNA_ENSG00000222831.1__235853030__235853060",-2.50689311372974,-1.64804176976761,0.000366823070408842
"miRNA_ENSG00000263511.1__641719__641749",4.59485234008729,-2.15140786339543,0.00550655161598963
"miRNA_ENSG00000207938.1__17845107__17845137",5.06617000024723,5.20478436221658,2.06536663501239e-13
"miRNA_ENSG00000207938.1__17845122__17845152",5.0661699772587,5.20478436221658,2.07073402307766e-13
"miRNA_ENSG00000207938.1__17845137__17845167",4.75172770853398,5.22491925473321,7.44504401773349e-13
"miRNA_ENSG00000207930.1__24275685__24275715",-2.54192662492027,-2.58194762390109,0.00488954529011641
"miRNA_ENSG00000207930.1__24275700__24275730",-2.54192656579667,-2.58194762390109,0.00488791527815613
"miRNA_ENSG00000207930.1__24275715__24275745",-2.37325768893604,-2.56056531648062,0.00625415307505752
"miRNA_ENSG00000275036.1__28289288__28289318",3.07308021278677,0.437372531918207,1.56037205047067e-06
"miRNA_ENSG00000275036.1__28289303__28289333",3.35368112723752,0.0638575405860467,6.5043211533572e-06
"miRNA_ENSG00000216035.1__29602294__29602324",-2.45531962738209,-3.09652259543565,0.0371790746132021
